,업종명,인허가일자,업소명,소재지(도로명),addr,영업장면적(건물내_외부),업태명,담당부서,데이터기준일자,latitude,longitude
7153,일반음식점,2023-03-30,워터힐,"서울특별시 동작구 신대방1가길 38, 지하1층 B101호 (신대방동, 동작상떼빌아파트)",서울특별시 동작구 신대방동 719 동작상떼빌아파트,50.0,한식,보건행정과,2024-08-19,37.4875212,126.9068467
7154,일반음식점,2023-04-03,요굿트,"서울특별시 동작구 사당로29가길 25, 1층 (사당동)",서울특별시 동작구 사당동 141-68,18.9,기타,보건행정과,2024-08-19,37.4862314,126.9794188
7155,일반음식점,2023-04-03,수작 국물떡볶이,"서울특별시 동작구 여의대방로24길 66, 1층 (신대방동)",서울특별시 동작구 신대방동 361-37,33.0,분식,보건행정과,2024-08-19,37.4982548,126.9239405
7156,일반음식점,2023-04-04,치킨마루 상도 숭실대점,"서울특별시 동작구 상도로 311, 1층 (상도1동)",서울특별시 동작구 상도1동 377,33.0,호프/통닭,보건행정과,2024-08-19,37.5003614,126.9505216
7157,일반음식점,2023-04-04,탕화쿵푸마라탕,"서울특별시 동작구 동작대로27가길 14, 2층 (사당동)",서울특별시 동작구 사당동 139-88,136.0,중국식,보건행정과,2024-08-19,37.4869416,126.9810413
7158,일반음식점,2023-04-04,메리커피플레이스,"서울특별시 동작구 보라매로5길 5, 상가동 1층 119, 120호 (신대방동, 보라매우성아파트)",서울특별시 동작구 신대방동 706 보라매우성아파트,22.08,기타,보건행정과,2024-08-19,37.4923207,126.9252545
7159,일반음식점,2023-04-04,프루코&드루와,"서울특별시 동작구 동작대로7길 65, 1층 103호 (사당동)",서울특별시 동작구 사당동 1040-4,30.0,기타,보건행정과,2024-08-19,37.4779765,126.9791565
7160,일반음식점,2023-04-05,후라이드참잘하는집 사당점,"서울특별시 동작구 동작대로35길 71, 1층 (사당동)",서울특별시 동작구 사당동 67-8,20.0,호프/통닭,보건행정과,2024-08-19,37.4924694,126.9790011
7161,일반음식점,2023-04-07,옥희 낙곱새,"서울특별시 동작구 사당로 300, 1층 124호 (사당동, 이수자이)",서울특별시 동작구 사당동 147-29 이수자이,34.61,한식,보건행정과,2024-08-19,37.4844319,126.9804651
7162,일반음식점,2023-04-10,카페파브,"서울특별시 동작구 솔밭로 59, 1층 (사당동)",서울특별시 동작구 사당동 236-16,72.0,기타,보건행정과,2024-08-19,37.4819156,126.9663728
